"決算発表予定日
Scheduled Dates for Earnings Announcements","コード
Code",会社名,Issue Name,"決算期末
Fiscal Year-end",業種名,Industry,種別,Fiscal Year/Quarter,市場区分,Market Segment
2025-11-14 00:00:00,2388,ウェッジホールディングス,"Wedge Holdings CO.,LTD.",2025-09-30 00:00:00,その他金融業,Other Financing Business,本決算,Fiscal year,グロース,Growth
2025-11-14 00:00:00,2415,ヒューマンホールディングス,"Human Holdings Co.,Ltd.",2026-03-31 00:00:00,サービス業,Services,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,2464,Ａｏｂａ‐ＢＢＴ,"Aoba-BBT,Inc.",2026-03-31 00:00:00,サービス業,Services,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,247A,Ａｉロボティクス,Ai ROBOTICS INC.,2026-03-31 00:00:00,化学,Chemicals,第２四半期,Second quarter,グロース,Growth
2025-11-14 00:00:00,2488,ＪＴＰ,"JTP CO.,LTD.",2026-03-31 00:00:00,サービス業,Services,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,2498,オリエンタルコンサルタンツホールディングス,Oriental Consultants Holdings Company Limited,2025-09-30 00:00:00,サービス業,Services,本決算,Fiscal year,スタンダード,Standard
2025-11-14 00:00:00,253A,ＥＴＳグループ,"ETS Group Co.,Ltd.",2025-09-30 00:00:00,建設業,Construction,本決算,Fiscal year,スタンダード,Standard
2025-11-14 00:00:00,254A,ＡＩフュージョンキャピタルグループ,AI FUSION CAPITAL GROUP CORP.,2026-03-31 00:00:00,証券、商品先物取引業,Securities & Commodity Futures,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,2594,キーコーヒー,KEY COFFEE INC,2026-03-31 00:00:00,食料品,Foods,第２四半期,Second quarter,プライム,Prime
2025-11-14 00:00:00,264A,Ｓｃｈｏｏ,"Schoo,inc.",2025-09-30 00:00:00,サービス業,Services,本決算,Fiscal year,グロース,Growth
2025-11-14 00:00:00,2652,まんだらけ,MANDARAKE INC.,2025-09-30 00:00:00,小売業,Retail Trade,本決算,Fiscal year,スタンダード,Standard
2025-11-14 00:00:00,2654,アスモ,ASMO CORPORATION,2026-03-31 00:00:00,小売業,Retail Trade,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,2656,ベクターホールディングス,Vector HOLDINGS Inc.,2026-03-31 00:00:00,小売業,Retail Trade,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,2667,イメージ　ワン,"ImageONE Co.,Ltd.",2025-09-30 00:00:00,卸売業,Wholesale Trade,本決算,Fiscal year,スタンダード,Standard
2025-11-14 00:00:00,2673,夢みつけ隊,"YUMEMITSUKETAI Co.,Ltd.",2026-03-31 00:00:00,小売業,Retail Trade,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,2750,石光商事,"S.ISHIMITSU&CO.,LTD.",2026-03-31 00:00:00,卸売業,Wholesale Trade,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,2764,ひらまつ,Hiramatsu Inc.,2026-03-31 00:00:00,小売業,Retail Trade,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,2813,和弘食品,"Wakou Shokuhin Co.,Ltd.",2026-03-31 00:00:00,食料品,Foods,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,2818,ピエトロ,"PIETRO Co.,Ltd.",2026-03-31 00:00:00,食料品,Foods,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,2876,デルソーレ,Delsole Corporation,2026-03-31 00:00:00,食料品,Foods,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,2915,ケンコーマヨネーズ,"KENKO Mayonnaise Co.,Ltd.",2026-03-31 00:00:00,食料品,Foods,第２四半期,Second quarter,プライム,Prime
2025-11-14 00:00:00,2916,仙波糖化工業,"Semba Tohka Industries Co.,Ltd",2026-03-31 00:00:00,食料品,Foods,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,2984,ヤマイチエステート,"Yamaichi Real Estate Co.,Ltd",2026-03-31 00:00:00,不動産業,Real Estate,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,2998,クリアル,CREAL Inc.,2026-03-31 00:00:00,不動産業,Real Estate,第２四半期,Second quarter,グロース,Growth
2025-11-14 00:00:00,3020,アプライド,"Applied Co.,Ltd.",2026-03-31 00:00:00,小売業,Retail Trade,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,302A,ビースタイルホールディングス,"b-style holdings,Inc.",2026-03-31 00:00:00,サービス業,Services,第２四半期,Second quarter,グロース,Growth
2025-11-14 00:00:00,3042,セキュアヴェイル,SecuAvail Inc.,2026-03-31 00:00:00,情報・通信業,Information & Communication,第２四半期,Second quarter,グロース,Growth
2025-11-14 00:00:00,3058,三洋堂ホールディングス,Sanyodo Holdings Inc.,2026-03-31 00:00:00,小売業,Retail Trade,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,3077,ホリイフードサービス,"Horiifoodservice Co.,Ltd.",2025-11-30 00:00:00,小売業,Retail Trade,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,3096,オーシャンシステム,OCEAN SYSTEM CORPORATION,2026-03-31 00:00:00,小売業,Retail Trade,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,3133,海帆,"kaihan co.,Ltd.",2026-03-31 00:00:00,小売業,Retail Trade,第２四半期,Second quarter,グロース,Growth
2025-11-14 00:00:00,3151,バイタルケーエスケー・ホールディングス,"VITAL KSK HOLDINGS,INC.",2026-03-31 00:00:00,卸売業,Wholesale Trade,第２四半期,Second quarter,プライム,Prime
2025-11-14 00:00:00,3173,Ｃｏｍｉｎｉｘ,"Cominix Co.,Ltd.",2026-03-31 00:00:00,卸売業,Wholesale Trade,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,3175,エー・ピーホールディングス,"AP HOLDINGS CO.,LTD.",2026-03-31 00:00:00,小売業,Retail Trade,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,3184,ＩＣＤＡホールディングス,"International Conglomerate of Distribution for Automobile Holdings Co.,Ltd.",2026-03-31 00:00:00,小売業,Retail Trade,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,3187,ミラタップ,miratap inc.,2025-09-30 00:00:00,小売業,Retail Trade,本決算,Fiscal year,グロース,Growth
2025-11-14 00:00:00,3224,ゼネラル・オイスター,"General Oyster,Inc.",2026-03-31 00:00:00,小売業,Retail Trade,第２四半期,Second quarter,グロース,Growth
2025-11-14 00:00:00,3237,イントランス,"INTRANCE CO.,LTD.",2026-03-31 00:00:00,不動産業,Real Estate,第２四半期,Second quarter,グロース,Growth
2025-11-14 00:00:00,3238,セントラル総合開発,"CENTRAL GENERAL DEVELOPMENT CO.,LTD.",2026-03-31 00:00:00,不動産業,Real Estate,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,3245,ディア・ライフ,"DEAR LIFE CO.,LTD.",2025-09-30 00:00:00,不動産業,Real Estate,本決算,Fiscal year,プライム,Prime
2025-11-14 00:00:00,3284,フージャースホールディングス,"Hoosiers Holdings Co.,Ltd.",2026-03-31 00:00:00,不動産業,Real Estate,第２四半期,Second quarter,プライム,Prime
2025-11-14 00:00:00,3288,オープンハウスグループ,"Open House Group Co.,Ltd.",2025-09-30 00:00:00,不動産業,Real Estate,本決算,Fiscal year,プライム,Prime
2025-11-14 00:00:00,3293,アズマハウス,"AZUMA HOUSE Co.,Ltd.",2026-03-31 00:00:00,不動産業,Real Estate,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,3358,ワイエスフード,"Y.S.FOOD CO.,LTD.",2026-03-31 00:00:00,小売業,Retail Trade,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,3359,ｃｏｔｔａ,"cotta CO.,LTD",2025-09-30 00:00:00,卸売業,Wholesale Trade,本決算,Fiscal year,グロース,Growth
2025-11-14 00:00:00,335A,ミライロ,Mirairo Inc.,2025-09-30 00:00:00,情報・通信業,Information & Communication,本決算,Fiscal year,グロース,Growth
2025-11-14 00:00:00,3370,フジタコーポレーション,"FUJITA CORPORATION Co.,Ltd.",2026-03-31 00:00:00,小売業,Retail Trade,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,3372,関門海,"KANMONKAI Co.,Ltd.",2026-03-31 00:00:00,小売業,Retail Trade,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,3397,トリドールホールディングス,TORIDOLL Holdings Corporation,2026-03-31 00:00:00,小売業,Retail Trade,第２四半期,Second quarter,プライム,Prime
2025-11-14 00:00:00,3402,東レ,"TORAY INDUSTRIES,INC.",2026-03-31 00:00:00,繊維製品,Textiles & Apparels,第２四半期,Second quarter,プライム,Prime
2025-11-14 00:00:00,3409,北紡,"KITABO CO.,LTD",2026-03-31 00:00:00,繊維製品,Textiles & Apparels,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,3461,パルマ,"Palma Co.,Ltd.",2025-09-30 00:00:00,不動産業,Real Estate,本決算,Fiscal year,スタンダード,Standard
2025-11-14 00:00:00,3489,フェイスネットワーク,"FaithNetwork Co.,Ltd",2026-03-31 00:00:00,不動産業,Real Estate,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,3495,香陵住販,"Koryojyuhan Co.,Ltd.",2025-09-30 00:00:00,不動産業,Real Estate,本決算,Fiscal year,スタンダード,Standard
2025-11-14 00:00:00,3513,イチカワ,"ICHIKAWA CO.,LTD.",2026-03-31 00:00:00,繊維製品,Textiles & Apparels,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,352A,ＬＯＩＶＥ,"LOIVE Co.,Ltd.",2026-03-31 00:00:00,サービス業,Services,第２四半期,Second quarter,グロース,Growth
2025-11-14 00:00:00,3556,リネットジャパングループ,"RenetJapanGroup,Inc.",2025-09-30 00:00:00,小売業,Retail Trade,本決算,Fiscal year,グロース,Growth
