"決算発表予定日
Scheduled Dates for Earnings Announcements","コード
Code",会社名,Issue Name,"決算期末
Fiscal Year-end",業種名,Industry,種別,Fiscal Year/Quarter,市場区分,Market Segment
2025-11-13 00:00:00,1417,ミライト・ワン,MIRAIT ONE Corporation,2026-03-31 00:00:00,建設業,Construction,第２四半期,Second quarter,プライム,Prime
2025-11-13 00:00:00,1491,中外鉱業,"Chugai Mining Co.,Ltd.",2026-03-31 00:00:00,非鉄金属,Nonferrous Metals,第２四半期,Second quarter,スタンダード,Standard
2025-11-13 00:00:00,1743,コーアツ工業,"KOATSU KOGYO CO.,LTD.",2025-09-30 00:00:00,建設業,Construction,本決算,Fiscal year,スタンダード,Standard
2025-11-13 00:00:00,177A,コージンバイオ,"Kohjin Bio Co.,Ltd.",2026-03-31 00:00:00,化学,Chemicals,第２四半期,Second quarter,グロース,Growth
2025-11-13 00:00:00,1780,ヤマウラ,YAMAURA CORPORATION,2026-03-31 00:00:00,建設業,Construction,第２四半期,Second quarter,プライム,Prime
2025-11-13 00:00:00,1810,松井建設,"MATSUI CONSTRUCTION CO.,LTD.",2026-03-31 00:00:00,建設業,Construction,第２四半期,Second quarter,スタンダード,Standard
2025-11-13 00:00:00,1811,錢高組,THE ZENITAKA CORPORATION,2026-03-31 00:00:00,建設業,Construction,第２四半期,Second quarter,スタンダード,Standard
2025-11-13 00:00:00,1815,鉄建建設,TEKKEN CORPORATION,2026-03-31 00:00:00,建設業,Construction,第２四半期,Second quarter,プライム,Prime
2025-11-13 00:00:00,1827,ナカノフドー建設,NAKANO CORPORATION,2026-03-31 00:00:00,建設業,Construction,第２四半期,Second quarter,スタンダード,Standard
2025-11-13 00:00:00,1833,奥村組,OKUMURA CORPORATION,2026-03-31 00:00:00,建設業,Construction,第２四半期,Second quarter,プライム,Prime
2025-11-13 00:00:00,1835,東鉄工業,"TOTETSU KOGYO CO.,LTD.",2026-03-31 00:00:00,建設業,Construction,第２四半期,Second quarter,プライム,Prime
2025-11-13 00:00:00,1847,イチケン,"ICHIKEN Co.,Ltd.",2026-03-31 00:00:00,建設業,Construction,第２四半期,Second quarter,スタンダード,Standard
2025-11-13 00:00:00,1860,戸田建設,TODA CORPORATION,2026-03-31 00:00:00,建設業,Construction,第２四半期,Second quarter,プライム,Prime
2025-11-13 00:00:00,1861,熊谷組,"Kumagai Gumi Co.,Ltd.",2026-03-31 00:00:00,建設業,Construction,第２四半期,Second quarter,プライム,Prime
